Наименование;Адрес;Описание;Бренд;Сезон;Цена;Наличие
Роликовые коньки Rollerblade FURY G;/goods/51525/2037938.html;Прекрасные роликовые коньки, главной особенностью которых является Molded ботинок, хорошо фиксирующий ногу и обеспечивающий отличную боковую поддержку. Ролики…;Бренд: Rollerblade;Сезон: 2021;10 737 ₽;в наличии 									в магазине									
Роликовые коньки K2 ALEXIS 80 PRO;/goods/51525/2038038.html;Alexis 80 PRO оснащен вибропоглощающей рамой Tec Composite, которая поглощает вибрацию дороги для плавного катания. Объедините это с надежной фиксацией,…;Бренд: K2;Сезон: 2021;17 424 ₽;в наличии 									в магазине									
Роликовые коньки K2 F.I.T. 84 PRO;/goods/51525/2038083.html;Эта модель роликов предназначена для длительных фитнес-прогулок. Благодаря алюминиевой раме увеличен запас жесткости и точность передачи усилия. Повышенный…;Бренд: K2;Сезон: 2021;24 112 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade FURY;/goods/51525/2037934.html;Прекрасные роликовые коньки, главной особенностью которых является Molded ботинок, хорошо фиксирующий ногу и обеспечивающий отличную боковую поддержку. Ролики…;Бренд: Rollerblade;Сезон: 2021;10 737 ₽;в наличии 									в магазине									
Роликовые коньки K2 ALEXIS 84 PRO;/goods/51525/2038093.html;Эта модель роликов предназначена для длительных фитнес-прогулок. Благодаря алюминиевой раме увеличен запас жесткости и точность передачи усилия. Повышенный…;Бренд: K2;Сезон: 2021;24 112 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade MICRO COMBO;/goods/51525/2037942.html;Удобные, хорошо поддерживающие ногу, раздвижные роликовые коньки с современным дизайном и отличными техническими характеристиками. Раздвигаются на четыре…;Бренд: Rollerblade;Сезон: 2021;14 607 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade MICROBLADE;/goods/51525/2037954.html;Удобные, простые в обращении роликовые коньки для детей. Регулируются на 4 полных размера одним нажатием кнопки. Обеспечивают надежную поддержку и хорошую…;Бренд: Rollerblade;Сезон: 2021;10 912 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade MICRO COMBO G;/goods/51525/2037946.html;Удобные, хорошо поддерживающие ногу, раздвижные роликовые коньки с современным дизайном и отличными техническими характеристиками. Раздвигаются на четыре…;Бренд: Rollerblade;Сезон: 2021;14 607 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade ZETRABLADE;/goods/51525/2038266.html;Комфортные надёжные роликовые коньки от Rollerblade.;Бренд: Rollerblade;Сезон: 2021;13 552 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade MICRO CUBE;/goods/51525/2037930.html;Удобные, хорошо поддерживающие ногу, раздвижные роликовые коньки с современным дизайном и отличными техническими характеристиками. Раздвигаются на четыре…;Бренд: Rollerblade;Сезон: 2021;16 632 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade MICRO CUBE G;/goods/51525/2037950.html;Удобные, хорошо поддерживающие ногу, раздвижные роликовые коньки с современным дизайном и отличными техническими характеристиками. Раздвигаются на четыре…;Бренд: Rollerblade;Сезон: 2021;16 632 ₽;в наличии 									в магазине									
Роликовые коньки K2 RAIDER PRO;/goods/51525/2037994.html;Роликовые коньки тщательно продуманы, раздвигаются на пять размеров, и обладают всеми необходимыми техническими характеристиками при демократичной цене.;Бренд: K2;Сезон: 2021;13 287 ₽;в наличии 									в магазине									
Роликовые коньки K2 RAIDER BOA;/goods/51525/2038010.html;Роликовые коньки тщательно продуманы, обладают быстрой системой шнуровки BOA, раздвигаются на пять размеров, и обладают всеми необходимыми техническими…;Бренд: K2;Сезон: 2021;16 104 ₽;в наличии 									в магазине									
Роликовые коньки Bladerunner PHOENIX G;/goods/51525/2038327.html;Комфортные, надёжные детские ролики по демократичной цене. Обладают хорошей боковой поддержкой и стильным дизайном. Раздвигаются на 4 полных размера.;Бренд: Bladerunner;Сезон: 2021;8 711 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade ZETRABLADE W;/goods/51525/2038305.html;Комфортные надёжные роликовые коньки от Rollerblade.;Бренд: Rollerblade;Сезон: 2021;13 552 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade SPARK 80;/goods/51525/1497021.html;Комфортные, надежные, простые в использовании роликовые коньки для начинающих и совершенствующихся роллеров.;Бренд: Rollerblade;Сезон: 2020;14 319 ₽;в наличии 									в магазине									
Роликовые коньки K2 ALEXIS 80 PRO;/goods/51525/1495526.html;Alexis 80 PRO оснащен вибропоглощающей рамой Tec Composite, которая поглощает вибрацию дороги для плавного катания. Объедините это с надежной фиксацией,…;Бренд: K2;Сезон: 2020;15 840 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade SPARK 84 W;/goods/51525/1497052.html;Комфортная, надежная модель с отличными техническими характеристиками для роллеров со средним уровнем подготовки.;Бренд: Rollerblade;Сезон: 2020;15 840 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade COMBO;/goods/51525/1493898.html;Удобные, хорошо поддерживающие ногу раздвижные коньки с современным дизайном и превосходными техническими характеристиками. Отличный подарок любому ребенку!…;Бренд: Rollerblade;Сезон: 2020;12 320 ₽;в наличии 									в магазине									
Роликовые коньки K2 MARLEE PRO;/goods/51525/1495486.html;Роликовые коньки тщательно продуманы, раздвигаются на пять размеров, и обладают всеми необходимыми техническими характеристиками при демократичной цене.;Бренд: K2;Сезон: 2020;12 079 ₽;в наличии 									в магазине									
Роликовые коньки K2 ALEXIS 84 PRO;/goods/51525/1495570.html;Эта модель роликов предназначена для длительных фитнес-прогулок. Благодаря алюминиевой раме увеличен запас жесткости и точность передачи усилия. Повышенный…;Бренд: K2;Сезон: 2020;21 920 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade MICROBLADE;/goods/51525/1493870.html;Новая модель, переосмысление классических Spitfire. Новая база с возможностью установки трех колес, навеянная самыми последними трендами индустрии.;Бренд: Rollerblade;Сезон: 2020;9 600 ₽;в наличии 									в магазине									
Роликовые коньки K2 RAIDER PRO;/goods/51525/1495482.html;Роликовые коньки тщательно продуманы, раздвигаются на пять размеров, и обладают всеми необходимыми техническими характеристиками при демократичной цене.;Бренд: K2;Сезон: 2020;12 079 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade MICROBLADE FREE 3WD;/goods/51525/1493862.html;Удобные, надежные, простые в обращении роликовые коньки для детей. Ролики регулируются на 4 полных размера, регулировка происходит одним нажатием кнопки.…;Бренд: Rollerblade;Сезон: 2020;9 600 ₽;в наличии 									в магазине									
Роликовые коньки Rollerblade MICROBLADE FREE 3WD G;/goods/51525/1493866.html;Удобные, надежные, простые в обращении роликовые коньки для детей.Ролики регулируются на 4 полных размера, регулировка происходит одним нажатием кнопки.…;Бренд: Rollerblade;Сезон: 2020;9 600 ₽;в наличии 									в магазине									
